"algo","params","n_clusters_found","silhouette","calinski","davies","f1_macro","f1_weighted","ari","nmi"
"KMeans","{""k"": 2}",2,0.05267756239540681,22.590438401362473,3.4441325900498447,"","","",""
"MiniBatchKMeans","{""k"": 2}",2,0.0692416933518947,20.413618889934828,3.2268503320941995,"","","",""
"Agglomerative(ward)","{""k"": 2}",2,0.051078656701353926,22.609644230012794,3.3417045884028065,"","","",""
"Agglomerative(average)","{""k"": 2}",2,0.10504180451243027,1.4796743048402996,0.8174881045788098,"","","",""
"Spectral","{""k"": 2}",2,0.10504180451243027,1.4796743048402996,0.8174881045788098,"","","",""
"Birch","{""k"": 2}",2,0.051078656701353926,22.609644230012794,3.3417045884028065,"","","",""
"GaussianMixture","{""k"": 2, ""cov"": ""diag"", ""reg"": 1e-06}",2,0.052804510898898,1.2217813641610091,0.8996052624604558,"","","",""
"KMeans","{""k"": 3}",3,0.05971031885854395,21.425089619933505,3.8238427872777874,"","","",""
"MiniBatchKMeans","{""k"": 3}",3,0.03648605087674075,12.44353795860207,3.35685803282948,"","","",""
"Agglomerative(ward)","{""k"": 3}",3,0.07092018179612875,22.196462898446022,3.2163536945000764,"","","",""
"Agglomerative(average)","{""k"": 3}",3,0.07626320439452551,1.409768715989378,0.8453484560639524,"","","",""
"Spectral","{""k"": 3}",3,0.07609197756467934,1.406128490401972,0.846909114132297,"","","",""
"Birch","{""k"": 3}",3,0.07092018179612875,22.196462898446022,3.2163536945000764,"","","",""
"GaussianMixture","{""k"": 3, ""cov"": ""diag"", ""reg"": 1e-06}",3,0.04853190339863822,8.782024133098297,2.682646474172154,"","","",""
"KMeans","{""k"": 4}",4,0.07629699088410599,19.389948322026985,3.515434336902196,"","","",""
"MiniBatchKMeans","{""k"": 4}",4,0.058072055167080784,15.61863782767604,3.277975589528718,"","","",""
"Agglomerative(ward)","{""k"": 4}",4,0.07470687392266676,19.764805747677112,2.857129778026352,"","","",""
"Agglomerative(average)","{""k"": 4}",4,0.06508696576389744,1.3849212313434054,0.8495895518293355,"","","",""
"Spectral","{""k"": 4}",4,0.068576734070741,1.3806382783014308,0.851043484750547,"","","",""
"Birch","{""k"": 4}",4,0.07470687392266676,19.764805747677112,2.857129778026352,"","","",""
"GaussianMixture","{""k"": 4, ""cov"": ""diag"", ""reg"": 1e-06}",4,0.024320889709372014,10.215140070965889,3.376947807341759,"","","",""
"KMeans","{""k"": 5}",5,0.08360039670706619,18.680768683246697,3.6276326779905803,"","","",""
"MiniBatchKMeans","{""k"": 5}",5,0.05043432140492708,14.264235455094969,2.718439334685242,"","","",""
"Agglomerative(ward)","{""k"": 5}",5,0.079065717749179,18.538609271085384,3.644772503932675,"","","",""
"Agglomerative(average)","{""k"": 5}",5,0.06271321598765997,1.5045105245929662,1.1813020231270994,"","","",""
"Spectral","{""k"": 5}",5,0.05287917771886483,1.5061313698240069,2.5384702505646835,"","","",""
"Birch","{""k"": 5}",5,0.079065717749179,18.538609271085384,3.644772503932675,"","","",""
"GaussianMixture","{""k"": 5, ""cov"": ""diag"", ""reg"": 1e-06}",5,0.03013897746012626,8.635008126132472,4.833787161739432,"","","",""
"KMeans","{""k"": 6}",6,0.0860626673814899,16.264195033770235,3.40060842215914,"","","",""
"MiniBatchKMeans","{""k"": 6}",6,0.05733102446093282,14.558413246877338,2.536567096208974,"","","",""
"Agglomerative(ward)","{""k"": 6}",6,0.08937563947320117,17.36558662421326,3.366771922411486,"","","",""
"Agglomerative(average)","{""k"": 6}",6,0.06108591154739543,1.515399870704028,1.3597592920512769,"","","",""
"Spectral","{""k"": 6}",5,0.052938600674587756,1.6597889170556053,2.905906009941126,"","","",""
"Birch","{""k"": 6}",6,0.08937563947320117,17.36558662421326,3.366771922411486,"","","",""
"GaussianMixture","{""k"": 6, ""cov"": ""diag"", ""reg"": 1e-06}",6,0.010087966512152904,10.662704574612306,3.053920853686005,"","","",""
"KMeans","{""k"": 7}",7,0.07914367058995979,15.237960084075565,2.885967527995246,"","","",""
"MiniBatchKMeans","{""k"": 7}",7,0.05616331934089705,12.98213025990118,2.4503456757948965,"","","",""
"Agglomerative(ward)","{""k"": 7}",7,0.0674785269998703,16.445500713727736,3.2575517974898873,"","","",""
"Agglomerative(average)","{""k"": 7}",7,0.05736447544133856,1.4845384883895036,1.2885176462116212,"","","",""
"Spectral","{""k"": 7}",5,0.04458401863827935,1.333620474221271,0.8726010982987896,"","","",""
"Birch","{""k"": 7}",7,0.0674785269998703,16.445500713727736,3.2575517974898873,"","","",""
"GaussianMixture","{""k"": 7, ""cov"": ""diag"", ""reg"": 1e-06}",7,0.04147633129343643,12.549467125284403,3.1364164320838834,"","","",""
"KMeans","{""k"": 8}",8,0.07648929529511238,14.167707658611299,2.7463433449875194,"","","",""
"MiniBatchKMeans","{""k"": 8}",8,0.07033112956947248,13.452478437841624,2.9159012402643154,"","","",""
"Agglomerative(ward)","{""k"": 8}",8,0.07301211330433471,15.626537728568126,3.0697304905304095,"","","",""
"Agglomerative(average)","{""k"": 8}",8,0.0571295233213215,1.7473628006870228,1.4296702239207741,"","","",""
"Spectral","{""k"": 8}",7,0.04744031166032377,1.49761233659961,2.7502788049066527,"","","",""
"Birch","{""k"": 8}",8,0.07301211330433471,15.626537728568126,3.0697304905304095,"","","",""
"GaussianMixture","{""k"": 8, ""cov"": ""diag"", ""reg"": 1e-06}",8,0.050445150262121444,10.490934537129032,3.601934843518081,"","","",""
"KMeans","{""k"": 9}",9,0.0850950505693808,14.753306191380734,2.8641175816806625,"","","",""
"MiniBatchKMeans","{""k"": 9}",9,0.054769318989652725,12.356519075149002,2.9413353283916144,"","","",""
"Agglomerative(ward)","{""k"": 9}",9,0.0815441376254832,14.810305630051783,2.944643177933053,"","","",""
"Agglomerative(average)","{""k"": 9}",9,0.05351221993108843,1.6928519861312272,1.3673532057682796,"","","",""
"Spectral","{""k"": 9}",7,0.023191520244442362,1.3512208942248958,1.684935798319602,"","","",""
"Birch","{""k"": 9}",9,0.0815441376254832,14.810305630051783,2.944643177933053,"","","",""
"GaussianMixture","{""k"": 9, ""cov"": ""diag"", ""reg"": 1e-06}",9,0.05724812292067494,10.21765727909083,3.144663411475594,"","","",""
"KMeans","{""k"": 10}",10,0.0822016341539802,13.559397730440033,2.8683700995242583,"","","",""
"MiniBatchKMeans","{""k"": 10}",10,0.06412769671231107,11.891741540345615,2.951057222431214,"","","",""
"Agglomerative(ward)","{""k"": 10}",10,0.08495228351946653,14.122981284777165,2.86204628715059,"","","",""
"Agglomerative(average)","{""k"": 10}",10,0.05033077357538996,1.6496321578614352,1.3175633404927414,"","","",""
"Spectral","{""k"": 10}",6,0.04855983051252588,1.4605388616875958,2.44866403016862,"","","",""
"Birch","{""k"": 10}",10,0.08495228351946653,14.122981284777165,2.86204628715059,"","","",""
"GaussianMixture","{""k"": 10, ""cov"": ""diag"", ""reg"": 1e-06}",10,0.059786753841118256,9.378653619451454,3.040965183574638,"","","",""
"KMeans","{""k"": 11}",11,0.08712648900929494,12.725423004369466,2.6190851795748546,"","","",""
"MiniBatchKMeans","{""k"": 11}",11,0.09264748020628467,11.197711559716963,2.7866102760210802,"","","",""
"Agglomerative(ward)","{""k"": 11}",11,0.09205404606459261,13.555819163754204,2.687655794835478,"","","",""
"Agglomerative(average)","{""k"": 11}",11,0.048753243885317966,1.6145829568207506,1.276996556364014,"","","",""
"Spectral","{""k"": 11}",6,0.04636936840899713,1.5206439094941857,2.503909204584508,"","","",""
"Birch","{""k"": 11}",11,0.09205404606459261,13.555819163754204,2.687655794835478,"","","",""
"GaussianMixture","{""k"": 11, ""cov"": ""diag"", ""reg"": 1e-06}",11,0.06987227332636196,10.086443326589142,3.120624262698234,"","","",""
"KMeans","{""k"": 12}",12,0.07297977279863473,11.900363870986126,2.7722789251274684,"","","",""
