scope,metric,pearson,spearman,n
GLOBAL,silhouette,,,0
GLOBAL,calinski,,,0
GLOBAL,davies,,,0
ALGO::AffinityPropagation,silhouette,,,0
ALGO::AffinityPropagation,calinski,,,0
ALGO::AffinityPropagation,davies,,,0
ALGO::Agglomerative(average),silhouette,,,0
ALGO::Agglomerative(average),calinski,,,0
ALGO::Agglomerative(average),davies,,,0
ALGO::Agglomerative(ward),silhouette,,,0
ALGO::Agglomerative(ward),calinski,,,0
ALGO::Agglomerative(ward),davies,,,0
ALGO::Birch,silhouette,,,0
ALGO::Birch,calinski,,,0
ALGO::Birch,davies,,,0
ALGO::DBSCAN,silhouette,,,0
ALGO::DBSCAN,calinski,,,0
ALGO::DBSCAN,davies,,,0
ALGO::GaussianMixture,silhouette,,,0
ALGO::GaussianMixture,calinski,,,0
ALGO::GaussianMixture,davies,,,0
ALGO::KMeans,silhouette,,,0
ALGO::KMeans,calinski,,,0
ALGO::KMeans,davies,,,0
ALGO::MeanShift,silhouette,,,0
ALGO::MeanShift,calinski,,,0
ALGO::MeanShift,davies,,,0
ALGO::MiniBatchKMeans,silhouette,,,0
ALGO::MiniBatchKMeans,calinski,,,0
ALGO::MiniBatchKMeans,davies,,,0
ALGO::OPTICS,silhouette,,,0
ALGO::OPTICS,calinski,,,0
ALGO::OPTICS,davies,,,0
ALGO::Spectral,silhouette,,,0
ALGO::Spectral,calinski,,,0
ALGO::Spectral,davies,,,0
